"Label (Grouping)","Austin-Round Rock-San Marcos, TX Metro Area!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Margin of Error","Austin-Round Rock-San Marcos, TX Metro Area!!Percent","Austin-Round Rock-San Marcos, TX Metro Area!!Percent Margin of Error","California (part); San Francisco-Oakland-Fremont, CA Metro Area!!Estimate","California (part); San Francisco-Oakland-Fremont, CA Metro Area!!Margin of Error","California (part); San Francisco-Oakland-Fremont, CA Metro Area!!Percent","California (part); San Francisco-Oakland-Fremont, CA Metro Area!!Percent Margin of Error","Cleveland city, OH; Cleveland, OH Metro Area!!Estimate","Cleveland city, OH; Cleveland, OH Metro Area!!Margin of Error","Cleveland city, OH; Cleveland, OH Metro Area!!Percent","Cleveland city, OH; Cleveland, OH Metro Area!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","",""
"    Total housing units","1,042,843","±409","1,042,843","(X)","1,880,374","±609","1,880,374","(X)","201,141","±1,694","201,141","(X)"
"        Occupied housing units","989,434","±2,299","94.9%","±0.2","1,744,070","±3,948","92.8%","±0.2","169,683","±1,781","84.4%","±0.5"
"        Vacant housing units","53,409","±2,283","5.1%","±0.2","136,304","±4,154","7.2%","±0.2","31,458","±1,020","15.6%","±0.5"
"        Homeowner vacancy rate","0.8","±0.1","(X)","(X)","0.8","±0.1","(X)","(X)","1.5","±0.4","(X)","(X)"
"        Rental vacancy rate","4.3","±0.3","(X)","(X)","5.8","±0.2","(X)","(X)","5.1","±0.5","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","",""
"    Total housing units","1,042,843","±409","1,042,843","(X)","1,880,374","±609","1,880,374","(X)","201,141","±1,694","201,141","(X)"
"        1-unit, detached","615,667","±4,193","59.0%","±0.4","918,882","±4,344","48.9%","±0.2","92,316","±1,879","45.9%","±0.8"
"        1-unit, attached","37,401","±1,970","3.6%","±0.2","179,369","±2,480","9.5%","±0.1","15,457","±909","7.7%","±0.4"
"        2 units","21,776","±1,365","2.1%","±0.1","76,207","±2,160","4.1%","±0.1","29,115","±1,113","14.5%","±0.6"
"        3 or 4 units","30,500","±1,792","2.9%","±0.2","122,491","±2,336","6.5%","±0.1","10,756","±895","5.3%","±0.4"
"        5 to 9 units","43,229","±2,117","4.1%","±0.2","109,776","±2,428","5.8%","±0.1","8,833","±742","4.4%","±0.4"
"        10 to 19 units","77,437","±3,098","7.4%","±0.3","105,259","±2,740","5.6%","±0.1","8,221","±818","4.1%","±0.4"
"        20 or more units","172,524","±3,503","16.5%","±0.3","346,835","±3,863","18.4%","±0.2","35,419","±1,442","17.6%","±0.7"
"        Mobile home","42,109","±1,725","4.0%","±0.2","19,232","±926","1.0%","±0.1","922","±287","0.5%","±0.1"
"        Boat, RV, van, etc.","2,200","±472","0.2%","±0.1","2,323","±433","0.1%","±0.1","102","±73","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","1,042,843","±409","1,042,843","(X)","1,880,374","±609","1,880,374","(X)","201,141","±1,694","201,141","(X)"
"        Built 2020 or later","74,275","±2,219","7.1%","±0.2","21,418","±1,198","1.1%","±0.1","2,134","±406","1.1%","±0.2"
"        Built 2010 to 2019","268,360","±4,625","25.7%","±0.4","115,237","±2,600","6.1%","±0.1","8,013","±700","4.0%","±0.4"
"        Built 2000 to 2009","218,850","±4,551","21.0%","±0.4","144,845","±3,010","7.7%","±0.2","7,834","±679","3.9%","±0.3"
"        Built 1990 to 1999","139,080","±3,105","13.3%","±0.3","142,851","±2,342","7.6%","±0.1","5,736","±562","2.9%","±0.3"
"        Built 1980 to 1989","141,802","±3,530","13.6%","±0.3","202,300","±3,658","10.8%","±0.2","6,330","±787","3.1%","±0.4"
"        Built 1970 to 1979","96,609","±2,862","9.3%","±0.3","262,055","±3,937","13.9%","±0.2","11,427","±868","5.7%","±0.4"
"        Built 1960 to 1969","44,936","±2,044","4.3%","±0.2","234,819","±3,260","12.5%","±0.2","16,539","±1,004","8.2%","±0.5"
"        Built 1950 to 1959","26,393","±1,565","2.5%","±0.2","245,740","±3,580","13.1%","±0.2","24,198","±1,286","12.0%","±0.6"
"        Built 1940 to 1949","12,995","±1,083","1.2%","±0.1","141,504","±3,053","7.5%","±0.2","21,262","±1,253","10.6%","±0.6"
"        Built 1939 or earlier","19,543","±1,213","1.9%","±0.1","369,605","±3,131","19.7%","±0.2","97,668","±1,880","48.6%","±0.8"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","1,042,843","±409","1,042,843","(X)","1,880,374","±609","1,880,374","(X)","201,141","±1,694","201,141","(X)"
"        1 room","36,588","±2,042","3.5%","±0.2","114,563","±2,691","6.1%","±0.1","7,778","±975","3.9%","±0.5"
"        2 rooms","71,789","±2,650","6.9%","±0.3","117,284","±2,855","6.2%","±0.2","8,409","±837","4.2%","±0.4"
"        3 rooms","125,273","±3,587","12.0%","±0.3","249,999","±4,333","13.3%","±0.2","24,768","±1,310","12.3%","±0.6"
"        4 rooms","163,395","±4,390","15.7%","±0.4","337,516","±4,516","17.9%","±0.2","29,306","±1,278","14.6%","±0.6"
"        5 rooms","179,290","±3,981","17.2%","±0.4","314,065","±3,986","16.7%","±0.2","45,384","±1,522","22.6%","±0.8"
"        6 rooms","161,803","±3,252","15.5%","±0.3","279,046","±4,174","14.8%","±0.2","38,972","±1,367","19.4%","±0.6"
"        7 rooms","108,935","±2,230","10.4%","±0.2","181,868","±2,784","9.7%","±0.1","21,326","±967","10.6%","±0.5"
"        8 rooms","85,387","±2,612","8.2%","±0.3","136,741","±2,768","7.3%","±0.1","12,072","±851","6.0%","±0.4"
"        9 rooms or more","110,383","±2,778","10.6%","±0.3","149,292","±2,779","7.9%","±0.1","13,126","±802","6.5%","±0.4"
"        Median rooms","5.2","±0.1","(X)","(X)","4.9","±0.1","(X)","(X)","5.2","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","1,042,843","±409","1,042,843","(X)","1,880,374","±609","1,880,374","(X)","201,141","±1,694","201,141","(X)"
"        No bedroom","39,794","±2,018","3.8%","±0.2","132,337","±2,849","7.0%","±0.2","8,436","±981","4.2%","±0.5"
"        1 bedroom","165,063","±3,412","15.8%","±0.3","307,589","±3,945","16.4%","±0.2","35,696","±1,660","17.7%","±0.8"
"        2 bedrooms","206,710","±4,232","19.8%","±0.4","495,465","±4,859","26.3%","±0.3","68,559","±1,655","34.1%","±0.8"
"        3 bedrooms","370,442","±4,689","35.5%","±0.5","539,200","±5,224","28.7%","±0.3","61,774","±1,748","30.7%","±0.9"
"        4 bedrooms","217,642","±3,881","20.9%","±0.4","314,771","±3,778","16.7%","±0.2","21,214","±1,077","10.5%","±0.5"
"        5 or more bedrooms","43,192","±1,686","4.1%","±0.2","91,012","±2,086","4.8%","±0.1","5,462","±507","2.7%","±0.3"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","989,434","±2,299","989,434","(X)","1,744,070","±3,948","1,744,070","(X)","169,683","±1,781","169,683","(X)"
"        Owner-occupied","576,470","±4,704","58.3%","±0.4","967,608","±6,377","55.5%","±0.3","70,804","±1,843","41.7%","±1.0"
"        Renter-occupied","412,964","±4,402","41.7%","±0.4","776,462","±4,958","44.5%","±0.3","98,879","±2,093","58.3%","±1.0"
"        Average household size of owner-occupied unit","2.65","±0.01","(X)","(X)","2.79","±0.01","(X)","(X)","2.22","±0.04","(X)","(X)"
"        Average household size of renter-occupied unit","2.06","±0.02","(X)","(X)","2.39","±0.01","(X)","(X)","1.99","±0.03","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","989,434","±2,299","989,434","(X)","1,744,070","±3,948","1,744,070","(X)","169,683","±1,781","169,683","(X)"
"        Moved in 2023 or later","79,514","±2,893","8.0%","±0.3","79,857","±2,254","4.6%","±0.1","9,751","±879","5.7%","±0.5"
"        Moved in 2020 to 2022","281,928","±4,415","28.5%","±0.4","352,567","±4,077","20.2%","±0.2","38,183","±1,285","22.5%","±0.8"
"        Moved in 2010 to 2019","409,624","±4,683","41.4%","±0.5","650,044","±5,023","37.3%","±0.3","66,536","±2,139","39.2%","±1.1"
"        Moved in 2000 to 2009","128,625","±3,087","13.0%","±0.3","295,298","±3,661","16.9%","±0.2","20,732","±1,332","12.2%","±0.8"
"        Moved in 1990 to 1999","54,911","±2,023","5.5%","±0.2","175,358","±2,606","10.1%","±0.1","14,444","±1,033","8.5%","±0.6"
"        Moved in 1989 and earlier","34,832","±1,259","3.5%","±0.1","190,946","±2,568","10.9%","±0.1","20,037","±990","11.8%","±0.6"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","989,434","±2,299","989,434","(X)","1,744,070","±3,948","1,744,070","(X)","169,683","±1,781","169,683","(X)"
"        No vehicles available","48,020","±2,363","4.9%","±0.2","211,684","±3,527","12.1%","±0.2","37,411","±1,648","22.0%","±0.9"
"        1 vehicle available","356,523","±5,247","36.0%","±0.5","596,156","±4,957","34.2%","±0.3","78,140","±2,029","46.1%","±1.1"
"        2 vehicles available","401,598","±5,678","40.6%","±0.6","580,091","±5,110","33.3%","±0.3","39,374","±1,497","23.2%","±0.8"
"        3 or more vehicles available","183,293","±3,998","18.5%","±0.4","356,139","±4,136","20.4%","±0.2","14,758","±893","8.7%","±0.5"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","989,434","±2,299","989,434","(X)","1,744,070","±3,948","1,744,070","(X)","169,683","±1,781","169,683","(X)"
"        Utility gas","383,211","±4,419","38.7%","±0.4","1,098,888","±6,101","63.0%","±0.3","132,178","±1,778","77.9%","±0.7"
"        Bottled or tank gas (propane, butane, etc.)","35,595","±1,451","3.6%","±0.1","34,072","±1,562","2.0%","±0.1","2,519","±353","1.5%","±0.2"
"        Electricity","559,133","±4,724","56.5%","±0.5","535,098","±5,525","30.7%","±0.3","32,104","±1,247","18.9%","±0.7"
"        Fuel oil, kerosene, etc.","795","±358","0.1%","±0.1","1,844","±355","0.1%","±0.1","127","±63","0.1%","±0.1"
"        Coal or coke","63","±47","0.0%","±0.1","458","±183","0.0%","±0.1","6","±10","0.0%","±0.1"
"        Wood","1,641","±356","0.2%","±0.1","5,271","±555","0.3%","±0.1","135","±88","0.1%","±0.1"
"        Solar energy","3,009","±486","0.3%","±0.1","15,260","±809","0.9%","±0.1","142","±113","0.1%","±0.1"
"        Other fuel","1,562","±320","0.2%","±0.1","6,479","±757","0.4%","±0.1","708","±193","0.4%","±0.1"
"        No fuel used","4,425","±773","0.4%","±0.1","46,700","±2,272","2.7%","±0.1","1,764","±397","1.0%","±0.2"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","989,434","±2,299","989,434","(X)","1,744,070","±3,948","1,744,070","(X)","169,683","±1,781","169,683","(X)"
"        Lacking complete plumbing facilities","3,644","±605","0.4%","±0.1","10,499","±885","0.6%","±0.1","778","±252","0.5%","±0.1"
"        Lacking complete kitchen facilities","6,869","±848","0.7%","±0.1","22,588","±1,324","1.3%","±0.1","2,457","±482","1.4%","±0.3"
"        No telephone service available","6,648","±801","0.7%","±0.1","14,835","±1,092","0.9%","±0.1","1,597","±312","0.9%","±0.2"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","989,434","±2,299","989,434","(X)","1,744,070","±3,948","1,744,070","(X)","169,683","±1,781","169,683","(X)"
"        1.00 or less","953,472","±3,332","96.4%","±0.2","1,631,639","±4,433","93.6%","±0.2","167,136","±1,900","98.5%","±0.2"
"        1.01 to 1.50","22,015","±1,749","2.2%","±0.2","63,809","±2,191","3.7%","±0.1","1,646","±345","1.0%","±0.2"
"        1.51 or more","13,947","±1,534","1.4%","±0.2","48,622","±1,859","2.8%","±0.1","901","±203","0.5%","±0.1"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","576,470","±4,704","576,470","(X)","967,608","±6,377","967,608","(X)","70,804","±1,843","70,804","(X)"
"        Less than $50,000","15,301","±1,139","2.7%","±0.2","14,405","±1,022","1.5%","±0.1","12,996","±906","18.4%","±1.2"
"        $50,000 to $99,999","11,450","±1,116","2.0%","±0.2","6,512","±645","0.7%","±0.1","21,721","±1,090","30.7%","±1.4"
"        $100,000 to $149,999","10,257","±989","1.8%","±0.2","7,530","±718","0.8%","±0.1","14,913","±1,049","21.1%","±1.3"
"        $150,000 to $199,999","13,209","±1,034","2.3%","±0.2","6,223","±628","0.6%","±0.1","9,435","±613","13.3%","±0.8"
