"Label (Grouping)","Austin-Round Rock-San Marcos, TX Metro Area!!Households!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Households!!Margin of Error","Austin-Round Rock-San Marcos, TX Metro Area!!Families!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Families!!Margin of Error","Austin-Round Rock-San Marcos, TX Metro Area!!Married-couple families!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Married-couple families!!Margin of Error","Austin-Round Rock-San Marcos, TX Metro Area!!Nonfamily households!!Estimate","Austin-Round Rock-San Marcos, TX Metro Area!!Nonfamily households!!Margin of Error","Cleveland city, OH; Cleveland, OH Metro Area!!Households!!Estimate","Cleveland city, OH; Cleveland, OH Metro Area!!Households!!Margin of Error","Cleveland city, OH; Cleveland, OH Metro Area!!Families!!Estimate","Cleveland city, OH; Cleveland, OH Metro Area!!Families!!Margin of Error","Cleveland city, OH; Cleveland, OH Metro Area!!Married-couple families!!Estimate","Cleveland city, OH; Cleveland, OH Metro Area!!Married-couple families!!Margin of Error","Cleveland city, OH; Cleveland, OH Metro Area!!Nonfamily households!!Estimate","Cleveland city, OH; Cleveland, OH Metro Area!!Nonfamily households!!Margin of Error","Berkeley city, CA; San Francisco-Oakland-Fremont, CA Metro Area!!Households!!Estimate","Berkeley city, CA; San Francisco-Oakland-Fremont, CA Metro Area!!Households!!Margin of Error","Berkeley city, CA; San Francisco-Oakland-Fremont, CA Metro Area!!Families!!Estimate","Berkeley city, CA; San Francisco-Oakland-Fremont, CA Metro Area!!Families!!Margin of Error","Berkeley city, CA; San Francisco-Oakland-Fremont, CA Metro Area!!Married-couple families!!Estimate","Berkeley city, CA; San Francisco-Oakland-Fremont, CA Metro Area!!Married-couple families!!Margin of Error","Berkeley city, CA; San Francisco-Oakland-Fremont, CA Metro Area!!Nonfamily households!!Estimate","Berkeley city, CA; San Francisco-Oakland-Fremont, CA Metro Area!!Nonfamily households!!Margin of Error"
"Total","989,434","±2,299","592,517","±4,257","458,959","±5,095","396,917","±4,163","169,683","±1,781","75,734","±1,506","31,185","±1,281","93,949","±2,195","47,135","±1,021","20,892","±694","16,508","±619","26,243","±1,099"
"    Less than $10,000","4.2%","±0.2","2.4%","±0.2","1.2%","±0.2","7.4%","±0.4","12.9%","±0.8","10.2%","±1.0","2.3%","±0.6","15.9%","±1.2","7.9%","±0.8","1.7%","±0.6","1.0%","±0.6","12.9%","±1.4"
"    $10,000 to $14,999","1.9%","±0.2","0.9%","±0.1","0.4%","±0.1","3.7%","±0.3","9.0%","±0.6","4.2%","±0.6","1.4%","±0.5","13.1%","±0.9","3.0%","±0.7","0.6%","±0.3","0.4%","±0.4","5.0%","±1.2"
"    $15,000 to $24,999","3.9%","±0.2","2.7%","±0.2","1.6%","±0.2","6.2%","±0.4","11.9%","±0.7","9.8%","±0.9","4.1%","±0.7","14.1%","±1.0","5.4%","±0.8","2.9%","±0.9","2.2%","±1.0","7.5%","±1.3"
"    $25,000 to $34,999","4.6%","±0.2","3.0%","±0.3","2.0%","±0.3","7.3%","±0.5","10.6%","±0.6","10.8%","±1.0","6.1%","±1.0","11.2%","±1.0","4.5%","±0.9","2.9%","±1.4","0.7%","±0.3","6.1%","±1.1"
"    $35,000 to $49,999","8.2%","±0.3","5.8%","±0.3","4.0%","±0.3","12.3%","±0.6","13.7%","±0.7","14.7%","±1.3","10.3%","±1.4","13.1%","±0.9","7.5%","±1.0","4.7%","±1.2","3.3%","±1.1","9.6%","±1.9"
"    $50,000 to $74,999","14.6%","±0.4","11.8%","±0.4","9.2%","±0.4","19.0%","±0.7","16.3%","±0.8","17.3%","±0.9","19.3%","±1.8","14.9%","±1.1","11.5%","±1.4","8.0%","±1.6","6.3%","±1.7","14.7%","±1.9"
"    $75,000 to $99,999","12.4%","±0.3","11.7%","±0.4","10.8%","±0.5","13.0%","±0.6","9.5%","±0.5","11.0%","±0.7","15.7%","±1.4","7.5%","±0.8","8.1%","±1.0","6.6%","±1.3","5.8%","±1.4","9.7%","±1.4"
"    $100,000 to $149,999","18.7%","±0.4","20.3%","±0.5","21.2%","±0.6","15.6%","±0.7","9.1%","±0.5","12.0%","±0.9","19.5%","±1.7","6.1%","±0.6","12.4%","±1.0","12.9%","±1.5","11.6%","±1.6","11.8%","±1.3"
"    $150,000 to $199,999","12.4%","±0.4","15.3%","±0.5","17.9%","±0.6","7.5%","±0.4","3.8%","±0.4","5.3%","±0.7","10.5%","±1.3","2.2%","±0.4","9.1%","±1.0","9.2%","±1.5","9.8%","±1.6","9.0%","±1.4"
